,Sales,Order Month,Order Year
540,468.9,January,2015
5713,5.94,January,2015
157,457.568,January,2015
6548,17.472,January,2015
7949,63.552,January,2015
7950,129.552,January,2015
7948,362.25,January,2015
8310,376.509,January,2015
8309,137.352,January,2015
6547,634.116,January,2015
7947,18.84,January,2015
7954,6.24,January,2015
1372,29.6,January,2015
1373,17.088,January,2015
7953,66.96,January,2015
2201,881.93,January,2015
9149,138.56,January,2015
2200,22.2,January,2015
9150,65.52,January,2015
246,47.88,January,2015
247,1503.25,January,2015
248,25.92,January,2015
307,289.2,January,2015
306,45.48,January,2015
244,2001.86,January,2015
245,166.72,January,2015
1318,575.92,January,2015
715,19.92,January,2015
1319,5.184,January,2015
1839,62.92,January,2015
2410,5.68,January,2015
1837,17.544,January,2015
1840,78.304,January,2015
2172,19.752,January,2015
1838,44.128,January,2015
3194,31.104,January,2015
3193,3.648,January,2015
1161,53.94,January,2015
8242,357.0,January,2015
8241,23.744,January,2015
8705,4.71,January,2015
806,1983.968,January,2015
805,43.176,January,2015
8388,76.12,January,2015
7560,31.68,January,2015
7559,167.94,January,2015
4066,10.272,January,2015
4827,69.52,January,2015
4828,5.64,January,2015
4158,15.696,January,2015
4068,978.84,January,2015
4067,47.808,January,2015
7558,533.94,January,2015
4065,7.52,January,2015
5896,21.4,January,2015
5895,44.4,January,2015
2832,155.976,January,2015
2831,443.92,January,2015
4904,674.058,January,2015
4491,659.988,January,2015
8004,45.84,January,2015
1792,46.64,January,2015
1791,2807.84,January,2015
4494,909.72,January,2015
4492,8.128,January,2015
8005,9.82,January,2015
4493,36.288,January,2015
8003,271.9,January,2015
2075,58.2,January,2015
3198,95.968,January,2015
4937,1325.85,January,2015
9629,3.438,January,2015
2978,545.94,January,2015
9628,37.408,January,2015
4938,333.999,January,2015
765,646.74,January,2015
767,572.58,January,2015
4939,19.9,January,2015
764,50.94,January,2015
763,11.36,January,2015
766,5.64,January,2015
6474,61.96,January,2015
1913,149.95,January,2015
971,124.2,January,2015
972,18.588,January,2015
973,30.072,January,2015
970,127.104,January,2015
5364,64.864,January,2015
5462,32.34,January,2015
5465,181.47,January,2015
5464,108.72,January,2015
5463,56.064,January,2015
7120,67.194,January,2015
1124,6.63,January,2015
1125,23.34,January,2015
6330,66.58,January,2015
6328,19.05,January,2015
1122,22.96,January,2015
1121,699.93,January,2015
6333,29.7,January,2015
6332,14.73,January,2015
1126,1067.94,January,2015
6331,43.92,January,2015
5737,19.3,January,2015
1123,38.6,January,2015
5736,19.36,January,2015
6326,13.98,January,2015
6329,247.716,January,2015
6327,272.94,January,2015
9155,40.08,January,2015
2582,155.35,January,2015
2583,12.42,January,2015
2578,62.82,January,2015
2584,187.98,January,2015
2581,16.68,January,2015
8150,141.96,January,2015
8149,10.68,January,2015
2579,489.92,January,2015
2580,19.44,January,2015
3794,57.23,January,2015
3796,36.44,January,2015
3795,333.0,January,2015
3083,3.928,January,2015
6388,229.94,January,2015
6387,10.56,January,2015
3365,290.666,January,2015
1703,12.35,February,2015
9137,18.336,February,2015
9138,180.96,February,2015
6058,36.4,February,2015
6057,11.36,February,2015
8919,177.68,February,2015
8826,26.72,February,2015
8827,33.488,February,2015
5682,15.84,February,2015
5683,1049.93,February,2015
5684,154.9,February,2015
7036,479.984,February,2015
5824,26.136,February,2015
3889,356.94,February,2015
3888,239.97,February,2015
3887,8.56,February,2015
718,59.808,February,2015
719,73.32,February,2015
2733,5.58,February,2015
2732,73.98,February,2015
6173,21.2,February,2015
6172,26.7,February,2015
6174,838.38,February,2015
4930,14.94,February,2015
4929,57.75,February,2015
9139,475.944,February,2015
2925,70.71,February,2015
2924,19.9,February,2015
9033,1793.98,February,2015
7288,559.71,February,2015
4403,21.24,February,2015
5028,239.976,February,2015
3228,7.16,February,2015
3222,9.408,February,2015
3225,12.768,February,2015
3226,15.36,February,2015
3227,230.376,February,2015
3223,4.672,February,2015
3224,318.4,February,2015
7506,46.384,February,2015
6502,50.232,February,2015
7576,41.94,February,2015
4523,34.86,February,2015
7577,52.792,February,2015
7276,799.92,February,2015
6503,19.242,February,2015
6227,88.776,February,2015
6501,539.964,February,2015
7507,362.92,February,2015
4524,89.34,February,2015
9001,5.95,February,2015
708,883.92,February,2015
9002,15.24,February,2015
2789,39.96,February,2015
707,119.96,February,2015
6599,60.72,February,2015
709,46.72,February,2015
6600,146.82,February,2015
2787,58.36,February,2015
2788,16.464,February,2015
6251,2.394,February,2015
6602,15.66,February,2015
6601,239.84,February,2015
4875,119.8,February,2015
9763,238.62,February,2015
9762,81.96,February,2015
5466,16.176,February,2015
9761,239.97,February,2015
7437,21.36,February,2015
1332,1.08,February,2015
1333,7.96,February,2015
9515,54.208,February,2015
8222,12.624,February,2015
6081,25.16,February,2015
4521,20.32,February,2015
4520,62.31,February,2015
8503,12.96,February,2015
2882,8.85,February,2015
7610,19.44,February,2015
6529,6.936,February,2015
6530,4.428,February,2015
5511,32.896,February,2015
5512,22.776,February,2015
9463,19.456,February,2015
7980,16.448,March,2015
1517,83.84,March,2015
1518,13.272,March,2015
1162,9.99,March,2015
1164,25.32,March,2015
7248,44.672,March,2015
7247,302.45,March,2015
1163,125.76,March,2015
7348,176.772,March,2015
555,19.456,March,2015
7246,15.12,March,2015
8711,626.352,March,2015
3861,40.176,March,2015
3862,10.896,March,2015
1552,21.56,March,2015
6322,15.28,March,2015
1699,515.88,March,2015
856,102.3,March,2015
857,21.36,March,2015
855,39.96,March,2015
202,2.6,March,2015
3155,93.024,March,2015
201,218.75,March,2015
8397,7.68,March,2015
4985,14.4,March,2015
8221,15.072,March,2015
8220,1.788,March,2015
8218,31.776,March,2015
8217,4.344,March,2015
4877,6.192,March,2015
5601,142.488,March,2015
5600,14.48,March,2015
8219,4.928,March,2015
1350,258.279,March,2015
2275,122.352,March,2015
4876,61.568,March,2015
2274,143.432,March,2015
5599,55.984,March,2015
4758,783.96,March,2015
4760,7.856,March,2015
5705,11.64,March,2015
9228,6.72,March,2015
4759,48.896,March,2015
6265,3.488,March,2015
6432,410.352,March,2015
9077,89.97,March,2015
6266,143.856,March,2015
6431,14.301,March,2015
6430,945.036,March,2015
6429,25.984,March,2015
3990,286.344,March,2015
8978,5.76,March,2015
1982,479.96,March,2015
2622,25.92,March,2015
2840,1139.92,March,2015
9406,8.448,March,2015
9405,574.91,March,2015
1890,10.56,March,2015
1891,3.38,March,2015
4676,33.088,March,2015
4677,80.98,March,2015
4678,82.8,March,2015
4679,21.36,March,2015
4680,62.048,March,2015
9514,91.056,March,2015
603,45.696,March,2015
604,7.218,March,2015
606,131.904,March,2015
605,43.188,March,2015
602,142.776,March,2015
3452,471.92,March,2015
7431,32.67,March,2015
2361,155.04,March,2015
2360,34.86,March,2015
2359,613.908,March,2015
2358,1071.576,March,2015
2357,1579.746,March,2015
1345,93.78,March,2015
1346,47.18,March,2015
1348,53.4,March,2015
1349,35.88,March,2015
8010,126.624,March,2015
5100,4.448,March,2015
5101,5.184,March,2015
5102,15.552,March,2015
1347,19.68,March,2015
7428,30.44,March,2015
7427,11.43,March,2015
7430,16.0,March,2015
7429,12.96,March,2015
7329,1856.19,March,2015
2699,8.016,March,2015
2700,30.768,March,2015
2698,21.376,March,2015
2701,18.936,March,2015
2697,22638.48,March,2015
2696,821.3,March,2015
2702,122.352,March,2015
7328,1279.968,March,2015
7327,111.0,March,2015
6151,1198.33,March,2015
6166,170.24,March,2015
6165,20.016,March,2015
6160,323.976,March,2015
6162,26.16,March,2015
6164,4.992,March,2015
6163,33.57,March,2015
6161,11.808,March,2015
8344,32.952,March,2015
8343,59.2,March,2015
7586,9.32,March,2015
196,6.048,March,2015
7585,122.97,March,2015
7587,122.94,March,2015
195,7.408,March,2015
7584,14.4,March,2015
7583,3499.93,March,2015
5460,16.272,March,2015
8345,218.376,March,2015
1767,7.644,March,2015
4340,16.28,March,2015
2870,74.352,March,2015
2871,314.352,March,2015
1768,51.465,March,2015
6590,9.912,March,2015
3554,330.4,March,2015
3555,604.752,March,2015
4479,24.9,March,2015
7801,40.48,March,2015
9309,25.44,March,2015
2432,366.786,March,2015
9308,45.48,March,2015
9307,14.88,March,2015
9306,6.56,March,2015
9659,18.75,March,2015
4244,66.3,March,2015
9051,3.36,March,2015
9052,27.936,March,2015
9053,28.784,March,2015
7840,1184.72,March,2015
7839,6.12,March,2015
8463,302.376,March,2015
7305,890.841,March,2015
5953,10.5,March,2015
8430,129.3,March,2015
6138,205.666,March,2015
7630,251.944,March,2015
7629,335.72,March,2015
5284,44.4,March,2015
5283,15.84,March,2015
2896,49.65,March,2015
7631,127.302,March,2015
5049,79.984,March,2015
5048,8.134,March,2015
9565,1125.488,March,2015
4711,0.852,March,2015
9566,12.645,March,2015
5479,1.869,March,2015
2229,673.568,March,2015
9567,4.032,March,2015
2230,52.98,March,2015
740,272.736,April,2015
741,3.54,April,2015
739,11.784,April,2015
8584,17.248,April,2015
1544,34.24,April,2015
1543,82.896,April,2015
4421,15.552,April,2015
1564,354.9,April,2015
3955,79.36,April,2015
1560,18.9,April,2015
5121,99.98,April,2015
4844,7.184,April,2015
5120,232.55,April,2015
5122,19.44,April,2015
5123,12.96,April,2015
3954,5.47,April,2015
7295,37.84,April,2015
7999,57.68,April,2015
7296,5.472,April,2015
1165,46.8,April,2015
1459,27.46,April,2015
7998,12.18,April,2015
1874,16.224,April,2015
8608,15.56,April,2015
8607,56.96,April,2015
8610,13.96,April,2015
8609,353.568,April,2015
6732,177.536,April,2015
6733,32.432,April,2015
7161,21.84,April,2015
7162,15.6,April,2015
1380,13.184,April,2015
1376,447.84,April,2015
9156,101.96,April,2015
1379,158.9,April,2015
9158,255.42,April,2015
1375,1089.75,April,2015
1378,399.96,April,2015
9157,259.74,April,2015
1377,16.4,April,2015
2724,95.648,April,2015
2723,14.45,April,2015
4947,29.24,April,2015
6439,589.41,April,2015
4312,447.968,April,2015
2742,35.34,April,2015
4308,666.344,April,2015
4310,21.936,April,2015
4311,19.44,April,2015
5653,2.94,April,2015
4309,573.728,April,2015
317,135.882,April,2015
4995,52.064,April,2015
2720,8.376,April,2015
2721,58.24,April,2015
318,3991.98,April,2015
321,43.57,April,2015
320,360.0,April,2015
319,275.94,April,2015
2715,129.98,April,2015
342,30.992,April,2015
343,71.928,April,2015
6707,7.83,April,2015
341,509.97,April,2015
340,17.856,April,2015
7656,106.96,April,2015
7657,187.76,April,2015
403,39.072,April,2015
6568,2.688,April,2015
6569,317.058,April,2015
3534,10.75,April,2015
3535,11.62,April,2015
6570,149.352,April,2015
3532,287.968,April,2015
6571,227.976,April,2015
3533,13.12,April,2015
7843,71.28,April,2015
4569,76.14,April,2015
7842,58.05,April,2015
6849,59.92,April,2015
5076,44.84,April,2015
5077,401.59,April,2015
5075,744.1,April,2015
9074,828.84,April,2015
1172,16.52,April,2015
7164,9.912,April,2015
